,name,categories,address,city,postal_code,province,country,latitude,longitude,websites
6479,Taco Bell,Fast Food Restaurant and Mexican Restaurant,1421 W Colony Rd,Ripon,95366,CA,US,37.754579,-121.139626,"https://locations.tacobell.com/ca/ripon/1421-w-colony-rd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=034197andutm_content=website,https://locations.tacobell.com/ca/ripon/1421-w-colony-rd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=023203&utm_content=website,http://tacobell.com"
6480,Taco Bell,Fast Food,1435 East Chase Parkway,Fort Worth,76120,TX,US,32.758332,-97.166618,https://locations.tacobell.com/tx/fort-worth/1435-east-chase-parkway.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=031017&utm_content=website
6481,Taco Bell,Fast Food,14308 So Western Ave,Gardena,90249,CA,US,33.901622,-118.308882,https://locations.tacobell.com/ca/gardena/14308-so-western-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=033627&utm_content=website
6482,Taco Bell,Fast Food,14409 Warwick Blvd,Newport News,23608,VA,US,37.129609,-76.538547,http://www.tacobell.com
6483,Taco Bell,Fast Food,1440 N Eaton Street,Albion,49224,MI,US,42.261242,-84.755711,https://locations.tacobell.com/mi/albion/1440-n--eaton-street.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=033026&utm_content=website
6484,Captain D's,Fast Food Restaurants,7916 Atlantic Blvd,Jacksonville,32211,FL,US,30.313289,-81.573981,https://locations.captainds.com/fl/jacksonville/7916-atlantic-blvd.html
6485,Pizza Hut,Fast Food Restaurants,1817 S Broadway Ave,Tyler,75701,TX,US,32.329859,-95.300659,http://www.pizzahut.com
6486,Arby's,Fast Food Restaurant,3000 Cleveland Ave,Wooster,44691,OH,US,40.836419,-81.929969,"http://www.arbys.com,http://locations.arbys.com/us/oh/wooster/3000-cleveland-ave.html"
6487,Arby's,Fast Food Restaurants,961 W Emmitt Ave,Waverly,45690,OH,US,39.11135,-82.996674,"http://www.arbys.com,https://locations.arbys.com/us/oh/waverly-city/961-w-emmitt-ave.html,http://locations.arbys.com/us/oh/waverly-city/961-w-emmitt-ave.html"
6488,Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",8219 Ohio River Rd,Wheelersburg,45694,OH,US,38.728166,-82.860097,"https://locations.arbys.com/us/oh/wheelersburg/8219-ohio-river-rd.html,http://locations.arbys.com/us/oh/wheelersburg/8219-ohio-river-rd.html,http://www.locations.arbys.com/us/oh/wheelersburg/8219-ohio-river-rd.html"
6489,Arby's,Fast Food Restaurants,1745 E Wyandot Ave,Upper Sandusky,43351,OH,US,40.835119,-83.237113,"http://www.arbys.com,https://locations.arbys.com/us/oh/upper-sandusky/1745-e-wyandot-ave.html,http://locations.arbys.com/us/oh/upper-sandusky/1745-e-wyandot-ave.html"
6490,Arby's,Fast Food,2670 Creekside Dr,Twinsburg,44087,OH,US,41.307507,-81.438443,"http://www.arbys.com,http://locations.arbys.com/us/oh/twinsburg/2670-creekside-dr.html,http://arbys.com"
6491,Arby's,Fast Food Restaurant,1455 Secor Rd,Toledo,43607,OH,US,41.654446,-83.622399,http://www.arbys.com
6492,Arby's,Fast Food Restaurant,2223 S Reynolds Rd,Toledo,43614,OH,US,41.598998,-83.664503,http://arbys.com
